,Timestep,Neural,Maximum,Greedy,Lazy,e-Neural,greedy
656,657.0,595.9808612,51.42946805,51.17704459,596.7059636,70.78340037,
657,658.0,596.902685,51.42922259,51.16005567,597.6290475,70.75579596,
658,659.0,597.8245091,51.45834576,51.1701834,598.5521316,70.96012889,
659,660.0,598.7463333,51.46123967,51.15271022,599.4752158,70.93235227,
660,661.0,599.6681577,51.44904692,51.15230584,600.3983002,70.94469426,
661,662.0,600.5899822,51.44278504,51.16023557,601.3213848,70.94232048,
662,663.0,601.5118069,51.44728027,51.28474077,602.2444695,70.97411484,
663,664.0,602.4336318,51.45978962,51.26265696,603.1675543,70.94926739,
664,665.0,603.3554568,51.46455251,51.25643376,604.0906394,70.97931742,
665,666.0,604.277282,51.458571,51.27159631,605.0137246,71.00211515,
666,667.0,605.1991073,51.45371326,51.32465066,605.9368099,70.96475673,
667,668.0,606.1209328,51.45897232,51.31887465,606.8598954,71.03436175,
668,669.0,607.0427585,51.44936257,51.32172214,607.7829811,71.04211885,
669,670.0,607.9645843,51.44011793,51.31774611,608.7060669,71.1090231,
670,671.0,608.8864102,51.43006097,51.33653296,609.6291528,71.10480881,
671,672.0,609.8082363,51.42584882,51.34744206,610.5522389,71.09510484,
672,673.0,610.7300626,51.42009422,51.34628207,611.4753252,71.09172253,
673,674.0,611.651889,51.53578375,51.35101885,612.3984116,71.09946943,
674,675.0,612.5737156,51.52712272,51.36068386,613.3214982,71.11457021,
675,676.0,613.4955423,51.5443582,51.3566166,614.2445849,71.10747041,
676,677.0,614.4173691,51.54349711,51.36129353,615.1676718,71.10107245,
677,678.0,615.3391962,51.5448865,51.3692215,616.0907588,71.08260728,
678,679.0,616.2610233,51.55108285,51.36542144,617.013846,71.07146118,
679,680.0,617.1828506,51.54595629,51.36363582,617.9369333,71.12223658,
680,681.0,618.1046781,51.56010741,51.37837004,618.8600208,71.1069143,
681,682.0,619.0265057,51.54933924,51.39589702,619.7831084,71.21381678,
682,683.0,619.9483335,51.5431739,51.39951812,620.7061961,71.25496776,
683,684.0,620.8701614,51.53724886,51.4011439,621.629284,71.27697007,
684,685.0,621.7919894,51.52974082,51.40040111,622.5523721,71.24586955,
685,686.0,622.7138176,51.51843239,51.39323362,623.4754603,71.27259351,
686,687.0,623.6356459,51.50959772,51.3956836,624.3985486,71.309122,
687,688.0,624.5574744,51.5055731,51.39185504,625.3216371,71.31434974,
688,689.0,625.479303,51.50534098,51.38727489,626.2447257,71.28687657,
689,690.0,626.4011318,51.50360794,51.37691324,627.1678145,71.31299166,
690,691.0,627.3229607,51.54035412,51.37183977,628.0909034,71.29611684,
691,692.0,628.2447897,51.52861323,51.42710226,629.0139924,71.37234957,
692,693.0,629.1666189,51.56336441,51.45300874,629.9370816,71.34734184,
693,694.0,630.0884482,51.57890853,51.49217263,630.8601709,71.31734393,
694,695.0,631.0102777,51.59857757,51.47523403,631.7832604,71.30427609,
695,696.0,631.9321073,51.59035899,51.47678825,632.70635,71.29445128,
696,697.0,632.853937,51.58750316,51.46762388,633.6294397,71.32240585,
697,698.0,633.7757669,51.58788848,51.45563613,634.5525296,71.30270158,
698,699.0,634.6975969,51.58992389,51.448323,635.4756196,71.31539224,
699,700.0,635.6194271,51.5810767,51.44515511,636.3987097,71.38936984,
700,701.0,636.5412573,51.56518674,51.43256178,637.3218,71.40201699,
701,702.0,637.4630877,51.55808008,51.42958758,638.2448904,71.40482119,
702,703.0,638.3849183,51.58766517,51.43175475,639.1679809,71.39224873,
703,704.0,639.306749,51.5957959,51.47284732,640.0910716,71.38569704,
704,705.0,640.2285798,51.59416929,51.4652617,641.0141624,71.40536463,
705,706.0,641.1504107,51.59329439,51.5064184,641.9372534,71.42169723,
706,707.0,642.0722418,51.58869917,51.4940977,642.8603444,71.42961391,
707,708.0,642.994073,51.59374178,51.50013108,643.7834356,71.40166489,
708,709.0,643.9159044,51.58187106,51.50139237,644.706527,71.39308529,
709,710.0,644.8377358,51.57338141,51.49669672,645.6296184,71.38443984,
710,711.0,645.7595674,51.57331893,51.49581938,646.55271,71.36835288,
711,712.0,646.6813992,51.577768,51.48393935,647.4758017,71.39819212,
